802799;2021;Oberliga 1 Frauen;
802801;2021;Oberliga 2 Frauen;
763594;2021;Oberliga 3 Frauen;
802824;2021;Verbandsliga 1 Frauen;
802806;2021;Verbandsliga 2 Frauen;
802841;2021;Verbandsliga 3 Frauen;
802826;2021;Verbandsliga 4 Frauen;
832111;2021;Verbandsliga 5 Frauen;
763595;2021;Verbandsliga 6 Frauen;
803024;2021;Landesliga 8 Frauen;
803025;2021;Bezirksliga 16 Frauen;
803026;2021;Bezirksliga 17 Frauen;
832117;2021;Bezirksliga 18 Frauen;
803100;2021;Bezirksklasse 29 Frauen;
803101;2021;Bezirksklasse 31 Frauen;
803102;2021;Bezirksklasse 32 Frauen;
803104;2021;Kreisliga Gütersloh/Bielefeld Frauen;
803195;2021;Kreisliga Lippe Frauen;
803194;2021;Kreisliga Minden-Ravensberg Frauen;
803103;2021;Kreisliga Paderborn Frauen;
802811;2021;Landesliga 3 Frauen;
802814;2021;Landesliga 4 Frauen;
802851;2021;Bezirksliga 5 Frauen;
802852;2021;Bezirksliga 6 Frauen;
802853;2021;Bezirksliga 7 Frauen;
802854;2021;Bezirksliga 8 Frauen;
899498;2021;Bezirksklasse 9 Frauen;
802845;2021;Bezirksklasse 10 Frauen;
802846;2021;Bezirksklasse 11 Frauen;
899499;2021;Bezirksklasse 12 Frauen;
802848;2021;Bezirksklasse 13 Frauen;
899501;2021;Bezirksklasse 14 Frauen;
802987;2021;Landesliga 5 Frauen;
802988;2021;Landesliga 6 Frauen;
803036;2021;Bezirksliga 9 Frauen;
803037;2021;Bezirksliga 10 Frauen;
803038;2021;Bezirksliga 11 Frauen;
832116;2021;Bezirksliga 12 Frauen;
763625;2021;Bezirksklasse 16 Frauen;
803039;2021;Bezirksklasse 17 Frauen;
803041;2021;Bezirksklasse 18 Frauen;
803042;2021;Bezirksklasse 19 Frauen;
803043;2021;Bezirksklasse 20 Frauen;
803044;2021;Bezirksklasse 21 Frauen;
803045;2021;Bezirksklasse 22 Frauen;
803105;2021;Kreisliga Bochum - Ennepe-Ruhr - Herne Frauen;
803193;2021;Kreisliga Hagen - Märkischer Kreis Frauen;
803192;2021;Kreisliga Hamm - Soest Frauen;
803209;2021;Kreisliga Hochsauerlandkreis Frauen;
803208;2021;Kreisliga Dortmund - Unna Frauen;
899520;2021;Kreisliga Siegen - Olpe Frauen;
803207;2021;Kreisliga Unna Frauen;
802777;2021;Landesliga 7 Frauen;
802781;2021;Bezirksliga 13 Frauen;
802783;2021;Bezirksliga 14 Frauen;
802784;2021;Bezirksliga 15 Frauen;
802792;2021;Bezirksklasse 23 Frauen;
802794;2021;Bezirksklasse 24 Frauen;
802795;2021;Bezirksklasse 25 Frauen;
802802;2021;Bezirksklasse 26 Frauen;
802803;2021;Bezirksklasse 27 Frauen;
763612;2021;Kreisliga Coesfeld Gruppe B Frauen;
763613;2021;Kreisliga Münster Gruppe B Frauen;
803011;2021;Kreisliga Borken Gruppe A Frauen;
803010;2021;Kreisliga Borken Gruppe B Frauen;
803132;2021;Kreisliga Coesfeld Gruppe A Frauen;
802968;2021;Kreisliga Münster Gruppe A Frauen;
803197;2021;Kreisliga Vest Frauen;
802967;2021;Kreisliga Warendorf Frauen;
832145;2021;WVV-Kreispokal Westfalen-Nord Frauen;
802943;2021;Landesliga 1 Frauen;
802946;2021;Landesliga 2 Frauen;
803076;2021;Bezirksliga 1 Frauen;
803074;2021;Bezirksliga 2 Frauen;
803071;2021;Bezirksliga 3 Frauen;
802989;2021;Bezirksliga 4 Frauen;
803140;2021;Bezirksklasse 1 Frauen;
803141;2021;Bezirksklasse 2 Frauen;
763622;2021;Bezirksklasse 3 Frauen;
763617;2021;Bezirksklasse 4 Frauen;
803145;2021;Bezirksklasse 5 Frauen;
763615;2021;Bezirksklasse 6 Frauen;
763616;2021;Bezirksklasse 7 Frauen;
802891;2021;Oberliga 1 mU20;
802892;2021;Oberliga 2 mU20;
802898;2021;Oberliga 3 mU20;
763573;2021;Oberliga 4 mU20;
802984;2021;Oberliga 1 mU18;
824617;2021;Quali A mU18 ZR1;
826893;2021;Quali B mU18 ZR1;
802979;2021;Oberliga 2 mU18;
824618;2021;Quali A mU18 ZR2;
826895;2021;Quali B mU18 ZR2;
802985;2021;Oberliga 3 mU18;
824619;2021;Quali A mU18 ZR3;
826897;2021;Quali B mU18 ZR3;
763574;2021;Oberliga 4 mU18;
824620;2021;Quali A mU18 ZR4;
826898;2021;Quali B mU18 ZR4;
803002;2021;Oberliga 1 mU16;
825047;2021;Quali A mU16 ZR1;
826907;2021;Quali B mU16 ZR1;
802963;2021;Oberliga 2 mU16;
825048;2021;Quali A mU16 ZR2;
826908;2021;Quali B mU16 ZR2;
763580;2021;Oberliga 3 mU16;
825049;2021;Quali A mU16 ZR3;
826909;2021;Quali B mU16 ZR3;
825050;2021;Quali A mU16 ZR4;
826910;2021;Quali B mU16 ZR4;
825051;2021;Quali A mU16 ZR5;
849843;2021;Quali A mU16 ZR6;
763583;2021;Oberliga 1 mU13;
763584;2021;Oberliga 2 mU13;
763585;2021;Oberliga 3 mU13;
763624;2021;Bezirksliga 4 mU18;
763631;2021;Bezirksliga 3 mU20;
763634;2021;Bezirksliga 5 mU18;
763637;2021;Bezirksliga 5 mU16;
832108;2021;Bezirksliga 2 mU20;
832109;2021;Bezirksliga 2 mU18;
899507;2021;Bezirksliga 2 mU16;
832104;2021;Bezirksliga 1 mU20;
827258;2021;Bezirksliga 1 mU18;
921721;2021;Bezirksmeisterschaft Rheinland männliche U12;
827269;2021;Oberliga 1 U14;
825052;2021;Quali A mU14 ZR1;
825060;2021;Quali A wU14 ZR1;
827116;2021;Quali B mU14 ZR1;
827111;2021;Quali B wU14 ZR1;
827271;2021;Oberliga 2 U14;
825053;2021;Quali A mU14 ZR2;
825061;2021;Quali A wU14 ZR2;
827117;2021;Quali B mU14 ZR2;
827113;2021;Quali B wU14 ZR2;
802937;2021;Oberliga 3 U14;
825055;2021;Quali A mU14 ZR4;
825062;2021;Quali A wU14 ZR3;
827118;2021;Quali B mU14 ZR3;
827114;2021;Quali B wU14 ZR3;
802942;2021;Oberliga 4 U14;
825054;2021;Quali A mU14 ZR3;
825063;2021;Quali A wU14 ZR4;
850042;2021;Quali B mU14 ZR4;
827115;2021;Quali B wU14 ZR4;
802954;2021;Oberliga 5 U14;
825056;2021;Quali A mU14 ZR5;
825064;2021;Quali A wU14 ZR5;
850041;2021;Quali B mU14 ZR5;
850038;2021;Quali B wU14 ZR5;
802955;2021;Oberliga 6 U14;
921522;2021;Quali A mU14 ZR6;
825065;2021;Quali A wU14 ZR6;
850039;2021;Quali B wU14 ZR6;
802956;2021;Oberliga 7 U14;
825067;2021;Quali A wU14 ZR7;
802960;2021;Oberliga 8 U14;
825068;2021;Quali A wU14 ZR8;
763577;2021;Oberliga 9 U14;
850031;2021;Quali A wU14 ZR9;
899514;2021;Oberliga 1 U13;
824579;2021;Quali A mU13 ZR1;
824584;2021;Quali A wU13 ZR1;
827124;2021;Quali B mU13 ZR1;
827120;2021;Quali B wU13 ZR1;
824580;2021;Quali A mU13 ZR2;
824585;2021;Quali A wU13 ZR2;
827125;2021;Quali B mU13 ZR2;
827121;2021;Quali B wU13 ZR2;
802884;2021;Oberliga 3 U13;
824581;2021;Quali A mU13 ZR3;
824586;2021;Quali A wU13 ZR3;
827126;2021;Quali B mU13 ZR3;
827122;2021;Quali B wU13 ZR3;
802883;2021;Oberliga 4 U13;
824582;2021;Quali A mU13 ZR4;
824587;2021;Quali A wU13 ZR4;
